Name,Height,Weight
kira-noir,5 ft 6 in (168 cm),130 lbs (59 kg)
sarah-banks,5 ft 0 in (152 cm),120 lbs (54 kg)
victoria-cakes,5 ft 8 in (173 cm),169 lbs (77 kg)
carmela-clutch,5 ft 1 in (155 cm),130 lbs (59 kg)
teanna-trump,5 ft 6 in (168 cm),134 lbs (61 kg)
moriah-mills,5 ft 4 in (163 cm),125 lbs (57 kg)
alexis-tae,5 ft 6 in (168 cm),114 lbs (52 kg)
jade-jordan,5 ft 6 in (168 cm),185 lbs (84 kg)
amari-anne,5 ft 5 in (165 cm),110 lbs (50 kg)
diamond-jackson,5 ft 7 in (170 cm),121 lbs (55 kg)
halle-hayes,5 ft 7 in (170 cm),137 lbs (62 kg)
gogo-fukme,5 ft 3 in (160 cm),155 lbs (70 kg)
demi-sutra,5 ft 3 in (160 cm),115 lbs (52 kg)
ebony-mystique,5 ft 7 in (170 cm),134 lbs (61 kg)
ms-london,NaN,NaN
nia-nacci,5 ft 7 in (170 cm),115 lbs (52 kg)
cherokee-d-ass,5 ft 3 in (160 cm),150 lbs (68 kg)
ana-foxxx,5 ft 7 in (170 cm),130 lbs (59 kg)
brittney-white,5 ft 3 in (160 cm),110 lbs (50 kg)
adriana-maya,5 ft 7 in (170 cm),146 lbs (66 kg)
osa-lovely,5 ft 4 in (163 cm),130 lbs (59 kg)
misty-stone,5 ft 5 in (165 cm),123 lbs (56 kg)
cassidy-banks,5 ft 4 in (163 cm),121 lbs (55 kg)
sarai-minx,5 ft 3 in (160 cm),121 lbs (55 kg)
pinky,4 ft 11 in (150 cm),154 lbs (70 kg)
kiki-minaj,5 ft 1 in (155 cm),121 lbs (55 kg)
chanell-heart,5 ft 4 in (163 cm),121 lbs (55 kg)
anya-ivy,5 ft 2 in (157 cm),110 lbs (50 kg)
jada-fire,5 ft 0 in (152 cm),115 lbs (52 kg)
skin-diamond,5 ft 5 in (165 cm),115 lbs (52 kg)
lala-ivey,5 ft 7 in (170 cm),121 lbs (55 kg)
maserati,5 ft 4 in (163 cm),150 lbs (68 kg)
leilani-leeane,5 ft 3 in (160 cm),115 lbs (52 kg)
julie-kay,5 ft 8 in (173 cm),146 lbs (66 kg)
jasmine-webb,5 ft 6 in (168 cm),130 lbs (59 kg)
nyomi-banxxx,5 ft 8 in (173 cm),134 lbs (61 kg)
josy-black,5 ft 9 in (175 cm),152 lbs (69 kg)
lacey-london,5 ft 7 in (170 cm),118 lbs (54 kg)
africa-sexxx,5 ft 7 in (170 cm),148 lbs (67 kg)
aryana-adin,5 ft 3 in (160 cm),145 lbs (66 kg)
kendall-woods,5 ft 6 in (168 cm),121 lbs (55 kg)
india,5 ft 8 in (173 cm),121 lbs (55 kg)
vanessa-blue,5 ft 4 in (163 cm),135 lbs (61 kg)
september-reign,5 ft 3 in (160 cm),114 lbs (52 kg)
kapri-styles,5 ft 7 in (170 cm),123 lbs (56 kg)
diamond-banks,5 ft 8 in (173 cm),125 lbs (57 kg)
noemie-bilas,5 ft 2 in (157 cm),110 lbs (50 kg)
roxy-reynolds,5 ft 5 in (165 cm),143 lbs (65 kg)
pink,5 ft 3 in (160 cm),139 lbs (63 kg)
codi-bryant,5 ft 8 in (173 cm),132 lbs (60 kg)
nicole-bexley,5 ft 2 in (157 cm),101 lbs (46 kg)
charlie-rae,5 ft 2 in (157 cm),119 lbs (54 kg)
ashley-aleigh,5 ft 8 in (173 cm),140 lbs (64 kg)
havana-ginger,5 ft 3 in (160 cm),121 lbs (55 kg)
daya-knight,5 ft 5 in (165 cm),130 lbs (59 kg)
chastity,5 ft 6 in (168 cm),118 lbs (54 kg)
lacey-duvalle,5 ft 2 in (157 cm),90 lbs (41 kg)
tori-montana,5 ft 4 in (163 cm),130 lbs (59 kg)
kinsley-karter,5 ft 4 in (163 cm),110 lbs (50 kg)
