Name,Height,Weight
violet-myers,5 ft 3 in (160 cm),133 lbs (60 kg)
sophia-leone,5 ft 4 in (163 cm),121 lbs (55 kg)
autumn-falls,5 ft 3 in (160 cm),115 lbs (52 kg)
mariana-martix,5 ft 5 in (165 cm),111 lbs (50 kg)
eliza-ibarra,5 ft 10 in (178 cm),110 lbs (50 kg)
alina-lopez,5 ft 6 in (168 cm),121 lbs (55 kg)
lasirena69,5 ft 1 in (155 cm),99 lbs (45 kg)
luna-star,5 ft 4 in (163 cm),112 lbs (51 kg)
gina-valentina,5 ft 2 in (157 cm),106 lbs (48 kg)
rose-monroe-your-fav,5 ft 3 in (160 cm),160 lbs (73 kg)
esperanza-gomez,5 ft 7 in (170 cm),121 lbs (55 kg)
bridgette-b,5 ft 8 in (173 cm),130 lbs (59 kg)
canela-skin,5 ft 3 in (160 cm),107 lbs (49 kg)
giselle-montes,NaN,NaN
veronica-leal,5 ft 4 in (163 cm),99 lbs (45 kg)
carmela-clutch,5 ft 1 in (155 cm),130 lbs (59 kg)
ariella-ferrera,5 ft 5 in (165 cm),115 lbs (52 kg)
mia-marin,5 ft 9 in (175 cm),118 lbs (54 kg)
victoria-june,5 ft 4 in (163 cm),108 lbs (49 kg)
valerie-kay,5 ft 2 in (157 cm),115 lbs (52 kg)
emanuelly-raquel,5 ft 4 in (163 cm),114 lbs (52 kg)
queen-rogue,5 ft 3 in (160 cm),150 lbs (68 kg)
veronica-rodriguez,5 ft 3 in (160 cm),99 lbs (45 kg)
valentina-jewels,5 ft 7 in (170 cm),150 lbs (68 kg)
rebeca-linares,5 ft 3 in (160 cm),112 lbs (51 kg)
ginebra-bellucci,5 ft 5 in (165 cm),118 lbs (54 kg)
eva-notty,5 ft 9 in (175 cm),146 lbs (66 kg)
blondie-fesser,5 ft 3 in (160 cm),148 lbs (67 kg)
katrina-moreno,5 ft 6 in (168 cm),119 lbs (54 kg)
ella-knox,5 ft 2 in (157 cm),112 lbs (51 kg)
harley-dean,5 ft 7 in (170 cm),119 lbs (54 kg)
elisa-sanches,5 ft 7 in (170 cm),73 lbs (33 kg)
sheila-ortega,5 ft 5 in (165 cm),127 lbs (58 kg)
jynx-maze,5 ft 1 in (155 cm),117 lbs (53 kg)
gabriela-lopez,5 ft 0 in (152 cm),110 lbs (50 kg)
maya-bijou,5 ft 0 in (152 cm),99 lbs (45 kg)
lilly-hall,5 ft 4 in (163 cm),121 lbs (55 kg)
skylar-snow,5 ft 6 in (168 cm),140 lbs (64 kg)
vanessa-sky,5 ft 2 in (157 cm),117 lbs (53 kg)
agatha-vega,NaN,5 ft 6 in (168 cm)
saya-karim,NaN,5 ft 6 in (168 cm)
aaliyah-hadid,5 ft 6 in (168 cm),112 lbs (51 kg)
claudia-bavel,5 ft 6 in (168 cm),112 lbs (51 kg)
julianna-vega,5 ft 5 in (165 cm),114 lbs (52 kg)
monique-fuentes,5 ft 10 in (178 cm),134 lbs (61 kg)
franceska-jaimes,5 ft 8 in (173 cm),126 lbs (57 kg)
chloe-amour,5 ft 4 in (163 cm),110 lbs (50 kg)
scarlit-scandal,5 ft 1 in (155 cm),99 lbs (45 kg)
abella-anderson,5 ft 2 in (157 cm),108 lbs (49 kg)
alicia-trece,5 ft 7 in (170 cm),121 lbs (55 kg)
kiara-mia,5 ft 4 in (163 cm),130 lbs (59 kg)
serena-santos,5 ft 2 in (157 cm),118 lbs (54 kg)
monica-santhiago,5 ft 3 in (160 cm),121 lbs (55 kg)
kailani-kai,5 ft 6 in (168 cm),165 lbs (75 kg)
havana-bleu,5 ft 3 in (160 cm),121 lbs (55 kg)
holly-hendrix,4 ft 9 in (145 cm),97 lbs (44 kg)
sofie-reyez,5 ft 1 in (155 cm),114 lbs (52 kg)
emme-white,NaN,5 ft 2 in (157 cm)
angelina-castro,5 ft 8 in (173 cm),157 lbs (71 kg)
