Name,Height,Weight
angela-white,5 ft 3 in (160 cm),130 lbs (59 kg)
lana-rhoades,5 ft 5 in (165 cm),115 lbs (52 kg)
eva-elfie,5 ft 4 in (163 cm),100 lbs (45 kg)
abella-danger,5 ft 4 in (163 cm),130 lbs (59 kg)
riley-reid,5 ft 4 in (163 cm),108 lbs (49 kg)
emily-willis,5 ft 5 in (165 cm),110 lbs (50 kg)
mia-malkova,5 ft 8 in (173 cm),119 lbs (54 kg)
lena-paul,5 ft 4 in (163 cm),128 lbs (58 kg)
cory-chase,5 ft 5 in (165 cm),132 lbs (60 kg)
brandi-love,5 ft 7 in (170 cm),126 lbs (57 kg)
lexi-luna,5 ft 7 in (170 cm),126 lbs (57 kg)
natasha-nice,5 ft 2 in (157 cm),115 lbs (52 kg)
adriana-chechik,5 ft 2 in (157 cm),110 lbs (50 kg)
lexi-lore,5 ft 5 in (165 cm),103 lbs (47 kg)
kendra-lust,5 ft 4 in (163 cm),140 lbs (64 kg)
ava-addams,5 ft 3 in (160 cm),120 lbs (54 kg)
sara-jay,5 ft 4 in (163 cm),141 lbs (64 kg)
dani-daniels,5 ft 7 in (170 cm),130 lbs (59 kg)
savannah-bond,5 ft 4 in (163 cm),130 lbs (59 kg)
alexis-crystal,5 ft 7 in (170 cm),110 lbs (50 kg)
elsa-jean,5 ft 3 in (160 cm),99 lbs (45 kg)
nicole-aniston,5 ft 3 in (160 cm),135 lbs (61 kg)
alexis-fawx,5 ft 4 in (163 cm),120 lbs (54 kg)
valentina-nappi,5 ft 5 in (165 cm),125 lbs (57 kg)
lauren-phillips,5 ft 10 in (178 cm),130 lbs (59 kg)
alexis-texas,5 ft 8 in (173 cm),130 lbs (59 kg)
leolulu,5 ft 7 in (170 cm),115 lbs (52 kg)
lisa-ann,5 ft 2 in (157 cm),110 lbs (50 kg)
dillion-harper,5 ft 5 in (165 cm),115 lbs (52 kg)
danika-mori,5 ft 1 in (155 cm),89 lbs (40 kg)
kenzie-reeves,4 ft 10 in (147 cm),90 lbs (41 kg)
emma-hix,5 ft 5 in (165 cm),99 lbs (45 kg)
cherie-deville,5 ft 5 in (165 cm),121 lbs (55 kg)
gabbie-carter,5 ft 7 in (170 cm),130 lbs (59 kg)
kenzie-madison,5 ft 4 in (163 cm),130 lbs (59 kg)
melody-marks,5 ft 3 in (160 cm),120 lbs (54 kg)
indica-flower,5 ft 2 in (157 cm),120 lbs (54 kg)
jessa-rhodes,5 ft 6 in (168 cm),121 lbs (55 kg)
kagney-linn-karter,5 ft 4 in (163 cm),119 lbs (54 kg)
molly-little,5 ft 3 in (160 cm),90 lbs (41 kg)
megan-rain,5 ft 1 in (155 cm),94 lbs (43 kg)
lela-star,5 ft 1 in (155 cm),110 lbs (50 kg)
elle-brooke,5 ft 2 in (157 cm),112 lbs (51 kg)
britney-amber,5 ft 5 in (165 cm),115 lbs (52 kg)
kelsi-monroe,5 ft 7 in (170 cm),121 lbs (55 kg)
hazel-moore,5 ft 7 in (170 cm),120 lbs (54 kg)
brianna-beach,5 ft 7 in (170 cm),126 lbs (57 kg)
little-caprice,5 ft 7 in (170 cm),106 lbs (48 kg)
lena-the-plug,5 ft 2 in (157 cm),127 lbs (58 kg)
karlee-grey,5 ft 6 in (168 cm),134 lbs (61 kg)
kimmy-granger,5 ft 1 in (155 cm),99 lbs (45 kg)
sheena-ryder,5 ft 3 in (160 cm),130 lbs (59 kg)
leah-gotti,5 ft 4 in (163 cm),125 lbs (57 kg)
kendra-sunderland,5 ft 9 in (175 cm),126 lbs (57 kg)
eva-lovia,5 ft 3 in (160 cm),115 lbs (52 kg)
jia-lissa,5 ft 5 in (165 cm),108 lbs (49 kg)
mandy-muse,5 ft 3 in (160 cm),121 lbs (55 kg)
janice-griffith,5 ft 2 in (157 cm),95 lbs (43 kg)
chloe-temple,5 ft 3 in (160 cm),100 lbs (45 kg)
